"langid","surface","auto","count","filename"
"cym","awr","hour.N.F.SG","81","1,2,6,7,8,9,11,12,14,18,19,20,23,25,28,29,30,33,35,37,38,39,41,42"
"cym","awyr","sky.N.F.SG","11","4,8,9,14,22,23,42"
"cym","awyren","aeroplane.N.F.SG","11","5,7,12,16,22,26,30,35"
"cym","ay","unk","1","31"
"cym","ayer","unk","6","27"
"cym","ba","which.ADJ+SM","2","4,31"
"cym","B","name","4","37"
"cym","babi","baby.N.MF.SG","35","4,7,9,10,14,21,22,26,28,33,38"
"cym","babis","unk","3","14,34"
"cym","bachgen","boy.N.M.SG","59","1,2,3,6,7,8,11,12,14,18,20,23,24,28,30,31,32,34,38,42"
"cym","bachu","hook.V.INFIN","1","11"
"cym","baeddu","soil.V.INFIN","5","24,32,35"
"cym","baentio","paint.V.INFIN+SM","1","28"
"cym","bag","bag.N.M.SG","10","3,7,12,16,22,34,42"
"cym","bagiau","bags.N.M.PL","4","7,11,16,41"
"cym","bagull","unk","4","39"
"cym","bai","fault.N.M.SG[or]be.V.3S.SUBJ.PAST","2","11,35"
"cym","bainc","unk","1","4"
"cym","baith","prairie.N.M.SG+SM","1","3"
"cym","bajito","unk","1","27"
"cym","balchder","pride.N.M.SG","1","42"
"cym","ballu","suchlike.PRON","1","2"
"cym","banc","bank.N.M.SG","2","3,16"
"cym","baner","flag.N.F.SG","1","10"
"cym","bant","unk","4","28"
"cym","bapur","paper.N.M.SG+SM","3","6,24,30"
"cym","bapurau","papers.N.M.PL+SM","3","7,30"
"cym","bar","bar.N.M.SG","1","14"
"cym","bara","bread.N.M.SG","3","9,25,32"
"cym","baratoi","prepare.V.INFIN+SM","4","24,28,31,41"
"cym","barc","park.N.M.SG+SM","1","30"
"cym","barchus","respectful.ADJ+SM","6","3,6"
"cym","barddoni","write_poetry.V.INFIN","2","8"
"cym","barddoniaeth","poetry.N.F.SG","3","4,14,26"
"cym","bargen","bargain.N.F.SG","1","3"
"cym","a'r","unk","2","24"
"cym","barti","party.N.M.SG+SM","1","16"
"cym","basa","unk","2","28,34"
"cym","basai","be.V.3S.PLUPERF.SPOKEN","46","2,5,6,7,8,9,12,22,23,26,28,30,33,37,42"
"cym","basan","be.V.1P.PLUPERF.SPOKEN","2","2,5"
"cym","basech","unk","2","5,42"
